plot	region	condition	tx	subplot	txfull	stem.num	height	n.leaves	n.mines	n.mined.leaves	n.fruits
12	A	JA	MOCK	12_A	JA_MOCK	A4	48	8	6	6	4
12	A	JA	MOCK	12_A	JA_MOCK	B1	51	11	3	3	8
12	A	JA	MOCK	12_A	JA_MOCK	B2	43	10	5	5	0
12	A	JA	MOCK	12_A	JA_MOCK	B3	44	10	5	5	0
12	A	JA	MOCK	12_A	JA_MOCK	B4	50	11	1	1	1
12	A	JA	MOCK	12_A	JA_MOCK	C1	50	11	4	4	0
12	A	JA	MOCK	12_A	JA_MOCK	C2	49	9	5	5	0
12	A	JA	MOCK	12_A	JA_MOCK	C3	49	10	3	3	5
12	A	JA	MOCK	12_A	JA_MOCK	C4	45	7	3	3	0
12	A	JA	MOCK	12_A	JA_MOCK	D1	51	11	4	4	3
12	A	JA	MOCK	12_A	JA_MOCK	D2	51	11	4	4	0
12	A	JA	MOCK	12_A	JA_MOCK	D3	48	11	3	3	3
12	A	JA	MOCK	12_A	JA_MOCK	D4	50	10	6	6	2
13	B	SA	TX	13_B	SA_TX	A1	36	10	2	2	10
13	B	SA	TX	13_B	SA_TX	A2	25	4	3	3	0
13	B	SA	TX	13_B	SA_TX	A3	32	12	1	1	0
