plot	region	date	time	who	condition	tx	subplot	txfull	plant	height	n.leaves	n.mines	mined.leaves	yellow.leaves	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	B3	32	7	6	"2,3,4,5,6,7"	"1,3,4"	6	3	7			4				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	B4	28	5	4	"1,2,3,4"	"1,2,3"	4	3	7			2				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	C1	33	7	6	"3,4,5,6,7,8"	"1,2,3,4"	6	4	10	NA	NA	8				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	C2	32	9	6	"2,3,4,5,6,7"	"1,2,3,4,5,6"	6	6	11			4	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	C3	29	7	6	"2,3,4,5,6,7"	"1,2,3,4,5,6,7"	6	7	6			3	2			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	C4	30	9	6	"3,4,5,6,7,8"	"1,2"	6	2	7			10				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	D1	33	8	4	"3,5,8,9"	"1,2"	4	2	6	NA	NA	7	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	D2	25	9	4	"2,5,6,7"	"1,2"	4	2	0			0				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	D3	29	7	5	"2,3,4,5,6"	"1,2,3"	5	3	5			4				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	D4	29	9	8	"2,3,4,5,6,7,8,9"	"1,2,3,4,5"	8	5	2			6				plot is flattened
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	A1	18	11	1	2	"1,2"	1	2	0	1	6					
